ANO,SG_UF,FEMINICIDIO,CANDIDATAS_ELEITAS,CENTRO,DIREITA,ESQUERDA
2006,AC,15,6,1,1,4
2006,AL,106,3,1,0,2
2006,AM,13,4,0,3,1
2006,AP,53,6,2,1,3
2006,BA,243,11,1,4,6
2006,BR,4030,0,0,0,0
2006,CE,134,3,1,1,1
2006,DF,49,0,0,0,0
2006,ES,183,6,1,1,4
2006,GO,143,7,5,0,2
2006,MA,67,7,2,1,4
2006,MG,70,9,2,0,7
2006,MS,55,1,1,0,0
2006,MT,392,2,2,0,0
2006,PA,140,7,4,0,3
2006,PB,62,8,6,0,2
2006,PE,249,0,0,0,0
2006,PI,310,3,1,0,2
2006,PR,32,3,0,1,2
2006,RJ,504,15,4,6,5
2006,RN,42,7,0,1,6
2006,RS,162,8,1,2,5
2006,RO,51,2,1,1,0
2006,RR,13,5,2,2,1
2006,SC,92,3,0,2,1
2006,SP,788,13,3,3,7
2006,SE,40,6,0,4,2
2006,TO,22,4,1,2,1
2008,AC,13,23,5,4,14
2008,AL,83,149,34,81,34
2008,AM,13,50,10,30,10
2008,AP,63,23,1,9,13
2008,BA,315,429,79,213,137
2008,BR,4029,0,0,0,0
2008,CE,117,260,88,92,80
2008,DF,64,0,0,0,0
2008,ES,190,58,14,21,23
2008,GO,160,224,102,95,27
2008,MA,81,281,63,109,109
2008,MG,86,675,204,300,171
2008,MS,60,80,31,26,23
2008,MT,377,136,24,77,35
2008,PA,169,141,53,48,40
2008,PB,87,604,240,274,90
2008,PE,306,0,0,0,0
2008,PI,298,261,60,111,90
2008,PR,38,364,132,137,95
2008,RJ,373,77,20,34,23
2008,RN,59,257,57,107,93
2008,RS,219,475,138,190,147
2008,RO,39,40,8,14,18
2008,RR,15,12,3,6,3
2008,SC,86,237,110,94,33
2008,SP,667,536,166,187,183
2008,SE,30,96,16,36,44
2008,TO,21,159,46,76,37
2010,AC,19,5,2,2,1
2010,AL,137,4,1,2,1
2010,AM,16,4,0,3,1
2010,AP,65,8,1,2,5
2010,BA,438,13,1,3,9
2010,BR,4477,1,0,0,1
2010,CE,173,7,0,3,4
2010,DF,66,0,0,0,0
2010,ES,174,5,2,1,2
2010,GO,182,5,3,0,2
2010,MA,117,9,3,1,5
2010,MG,80,5,0,0,5
2010,MS,76,0,0,0,0
2010,MT,409,0,0,0,0
2010,PA,231,7,5,1,1
2010,PB,119,12,4,4,4
2010,PE,338,0,0,0,0
2010,PI,247,8,2,3,3
2010,PR,40,7,2,2,3
2010,RJ,339,13,4,2,7
2010,RN,71,5,0,1,4
2010,RS,227,11,2,2,7
2010,RO,37,4,1,1,2
2010,RR,11,4,2,1,1
2010,SC,110,4,1,0,3
2010,SP,678,15,5,1,9
2010,SE,43,5,0,3,2
2010,TO,34,5,1,2,2
2012,AC,16,3,0,3,0
2012,AL,133,40,16,20,4
2012,AM,17,14,3,9,2
2012,AP,118,10,1,3,6
2012,BA,437,137,21,67,49
2012,BR,4729,0,0,0,0
2012,CE,219,77,18,40,19
2012,DF,77,0,0,0,0
2012,ES,163,19,5,3,11
2012,GO,247,50,16,23,11
2012,MA,114,89,19,38,32
2012,MG,100,152,46,54,52
2012,MS,77,28,8,11,9
2012,MT,460,44,7,24,13
2012,PA,232,56,23,20,13
2012,PB,137,178,68,70,40
2012,PE,321,0,0,0,0
2012,PI,216,70,14,21,35
2012,PR,46,89,33,27,29
2012,RJ,365,21,9,4,8
2012,RN,64,81,20,37,24
2012,RS,247,83,32,29,22
2012,RO,51,13,3,5,5
2012,RR,17,6,3,1,2
2012,SC,104,46,16,19,11
2012,SP,640,187,55,75,57
2012,SE,62,28,8,7,13
2012,TO,49,53,19,24,10
2014,AC,20,2,1,0,1
2014,AL,125,1,0,1,0
2014,AM,20,0,0,0,0
2014,AP,80,0,0,0,0
2014,BA,385,1,0,0,1
2014,BR,4836,1,0,0,1
2014,CE,285,1,1,0,0
2014,DF,60,0,0,0,0
2014,ES,140,1,1,0,0
2014,GO,290,0,0,0,0
2014,MA,152,0,0,0,0
2014,MG,111,0,0,0,0
2014,MS,85,2,2,0,0
2014,MT,403,0,0,0,0
2014,PA,249,0,0,0,0
2014,PB,117,2,1,0,1
2014,PE,284,1,0,0,1
2014,PI,239,2,0,2,0
2014,PR,63,1,1,0,0
2014,RJ,464,0,0,0,0
2014,RN,102,1,0,0,1
2014,RS,250,0,0,0,0
2014,RO,56,0,0,0,0
2014,RR,24,1,0,1,0
2014,SC,111,0,0,0,0
2014,SP,612,0,0,0,0
2014,SE,74,1,0,1,0
2014,TO,35,2,1,0,1
